chr,pos,pval,mac,eff_size,SE
1,2989,0.17474689,1,37.798485,97.4282
1,3030,0.89369965,5,1.59387,42.833683
1,3084,0.40891454,1,-22.146214,91.88429
1,3102,0.78153443,35,1.6359351,23.793028
1,3203,0.390781,1,-23.085047,92.15988
1,3229,0.020847209,1,62.56905,96.707
1,3230,0.020847209,1,62.56905,96.707
1,3231,0.020847209,1,62.56905,96.707
1,3301,0.97071147,1,-0.94074655,88.15444
1,3384,0.976895,2,-0.57882136,68.78698
1,3479,0.2937699,1,-29.196342,95.199005
1,4006,0.97472805,2,-0.6121304,67.00961
1,4287,0.5122676,1,17.982145,95.09704
1,4327,0.8658178,5,-1.4617548,32.117462
1,4412,0.97951895,2,-0.5111141,68.7845
1,4493,0.2937699,1,-29.196342,95.199005
1,4648,0.3927891,35,5.405158,25.27854
1,4654,0.8658178,5,-1.4617548,32.117462
1,4793,0.2937699,1,-29.196342,95.199005
1,4880,0.52132744,17,-4.893114,28.737705
1,4963,0.020847209,1,62.56905,96.707
1,5149,0.5325005,2,-11.376687,63.11814
1,5427,0.976895,2,-0.57882136,68.78698
1,5435,0.40891454,1,-22.146214,91.88429
1,5442,0.46849746,1,-20.715986,97.8586
1,5599,0.2937699,1,-29.196342,95.199005
1,5639,0.88331556,2,2.384491,57.0768
1,5685,0.40891454,1,-22.146214,91.88429
1,5936,0.95495623,7,0.671883,42.546608
1,5966,0.61242265,3,-7.8441315,54.087704
1,5975,0.84369725,8,-2.1513476,39.327652
1,6059,0.36944684,35,5.6184583,25.084047
1,6063,0.5766266,49,-2.911833,21.587702
1,6085,0.46849746,1,-20.715986,97.8586
1,6272,0.976895,2,-0.57882136,68.78698
1,6322,0.32202676,2,18.849787,67.184525
1,6407,0.55138284,1,-16.082926,92.56407
1,6410,0.976895,2,-0.57882136,68.78698
1,6449,0.6684404,10,-3.987247,34.063995
1,6474,0.6799045,2,5.9769807,51.475903
1,6528,0.73095995,10,-3.446216,36.419476
1,6539,0.30527347,13,-7.902251,28.760597
1,6550,0.48572162,5,-8.73884,44.322475
1,6564,0.97071147,1,-0.94074655,88.15444
1,6603,0.2539678,34,7.216428,25.481798
1,6712,0.2937699,1,-29.196342,95.199005
1,6726,0.8537592,6,-2.2213192,43.019714
1,6768,0.91844094,17,-0.78247195,29.015987
1,6771,0.8648451,8,-1.7457033,37.232044
1,7073,0.36953637,1,28.261051,109.06354
1,7121,0.95495623,7,0.671883,42.546608
1,7154,0.91508573,1,1.5033258,49.85052
1,7202,0.4777541,15,-5.601634,29.529427
1,7203,0.4777541,15,-5.601634,29.529427
1,7206,0.4777541,15,-5.601634,29.529427
1,7341,0.52983385,3,-9.699002,53.828598
1,7362,0.52983385,3,-9.699002,53.828598
1,7463,0.5854804,1,-14.491746,91.16482
1,7464,0.44647956,18,-4.5746264,23.676374
1,7468,0.8658178,5,-1.4617548,32.117462
1,7572,0.3176254,4,-13.972028,48.89725
1,7601,0.95495623,7,0.671883,42.546608
1,7779,0.32202676,2,18.849787,67.184525
1,7931,0.64752275,9,-4.384669,34.93895
1,8005,0.44219267,1,20.896585,94.33973
1,8006,0.63608027,1,-6.773427,50.27919
1,8013,0.48572162,5,-8.73884,44.322475
1,8173,0.62780184,2,9.873086,71.0835
1,8176,0.8865439,3,-1.3676217,35.131622
1,8191,0.34670654,1,-32.067802,116.48178
1,8193,0.2089923,33,8.117183,25.954212
1,8232,0.97951895,2,-0.5111141,68.7845
1,8329,0.7363174,10,-3.1421022,34.18939
1,8370,0.32202676,2,18.849787,67.184525
1,8526,0.97472805,2,-0.6121304,67.00961
1,8617,0.71997494,8,-3.914348,39.268303
1,8780,0.28587365,34,6.841012,25.61589
1,8799,0.89369965,5,1.59387,42.833683
1,8916,0.95495623,7,0.671883,42.546608
1,8927,0.976895,2,-0.57882136,68.78698
1,8943,0.97951895,2,-0.5111141,68.7845
1,8990,0.43561232,1,-20.314064,89.30808
1,9074,0.5447286,1,-16.037275,90.795074
1,9174,0.2937699,1,-29.196342,95.199005
1,9250,0.39954707,40,4.8499923,23.502298
1,9438,0.97071147,1,-0.94074655,88.15444
1,9472,0.97951895,2,-0.5111141,68.7845
1,9498,0.63608027,1,-6.773427,50.27919
1,9577,0.97951895,2,-0.5111141,68.7845
1,9579,0.97951895,2,-0.5111141,68.7845
1,9846,0.5477332,50,3.2325664,22.223124
1,9872,0.7338637,4,-3.06228,33.17524
1,9936,1.0,1,-0.08982295,89.48073
1,9952,0.95495623,7,0.671883,42.546608
1,9958,0.4189594,1,-21.217646,89.97471
1,10011,0.390781,1,-23.085047,92.15988
1,10028,0.48572162,5,-8.73884,44.322475
1,10055,0.976895,2,-0.57882136,68.78698
1,10069,0.088979214,1,48.458073,100.285965
1,10134,0.2937699,1,-29.196342,95.199005
1,10152,0.91508573,1,1.5033258,49.85052
1,10219,0.73095995,10,-3.446216,36.419476
1,10264,0.2937699,1,-29.196342,95.199005
1,10271,0.2937699,1,-29.196342,95.199005
1,10294,0.11465018,7,17.611317,41.584404
1,10316,0.4189594,1,-21.217646,89.97471
1,10318,0.4656479,2,-13.551777,64.1803
1,10330,0.62780184,2,9.873086,71.0835
1,10360,0.78435534,66,1.4150859,21.509985
1,10449,0.95495623,7,0.671883,42.546608
1,10532,1.0,1,-0.08982295,89.48073
1,10599,0.73095995,10,-3.446216,36.419476
1,10600,0.97951895,2,-0.5111141,68.7845
1,10806,0.34670654,1,-32.067802,116.48178
1,10904,0.5167817,30,3.8232822,24.051208
1,10925,0.2937699,1,-29.196342,95.199005
1,10927,0.2937699,1,-29.196342,95.199005
1,10969,0.8525846,15,-1.4951893,30.22855
1,11202,0.390781,1,-23.085047,92.15988
1,11210,0.4656479,2,-13.551777,64.1803
1,11248,0.97472805,2,-0.6121304,67.00961
1,11286,0.9479971,6,0.866253,47.24315
1,11293,0.97221386,9,0.37660164,38.72555
1,11493,0.5364219,50,3.3824837,22.505005
1,11494,0.88331556,2,2.384491,57.0768
1,11535,0.95495623,7,0.671883,42.546608
1,11670,0.43561232,1,-20.314064,89.30808
1,11696,0.95495623,7,0.671883,42.546608
1,11744,0.911325,1,-2.8607576,88.35635
1,11898,0.83534026,1,-5.5126348,91.1669
1,11944,0.8658178,5,-1.4617548,32.117462
1,12035,0.9479971,6,0.866253,47.24315
1,12378,0.09595288,1,46.314247,97.94647
1,12386,0.43561232,1,-20.314064,89.30808
1,12411,0.48572162,5,-8.73884,44.322475
1,12584,0.924598,62,0.48473603,21.322042
1,12659,0.54046893,9,-6.442206,37.8717
1,12662,0.390781,1,-23.085047,92.15988
1,12947,0.28587365,34,6.841012,25.61589
1,13045,0.6409753,17,3.5917947,29.52386
1,13121,0.8658178,5,-1.4617548,32.117462
1,13147,0.91508573,1,1.5033258,49.85052
1,13163,0.36953637,1,28.261051,109.06354
1,13226,0.27949417,1,-29.27859,92.66798
1,13260,0.51307315,50,3.5775282,22.51364
1,13271,0.2611711,1,28.960838,90.10016
1,13397,0.40681237,12,-6.6876254,29.946625
1,13450,0.27949417,1,-29.27859,92.66798
1,13538,0.48615372,55,3.6144698,21.671247
1,13893,1.0,1,-0.08982295,89.48073
1,13898,0.89369965,5,1.59387,42.833683
1,13906,0.976895,2,-0.57882136,68.78698
1,13907,0.111686535,4,22.630903,51.74762
1,13908,0.7248116,5,-4.3223825,43.69929
1,13997,0.97071147,1,-0.94074655,88.15444
1,14012,0.20864068,18,-8.683293,26.217276
1,14082,0.020847209,1,62.56905,96.707
1,14201,0.976895,2,-0.57882136,68.78698
1,14289,0.2089923,33,8.117183,25.954212
1,14324,0.2544015,2,-21.2276,64.24119
1,14332,0.48572162,5,-8.73884,44.322475
1,14385,0.98096627,6,0.25983113,39.650642
1,14561,0.6390022,1,-12.243148,89.5834
1,14637,0.3285178,1,-25.733858,90.221596
1,14764,0.63608027,1,-6.773427,50.27919
1,14789,0.6069561,4,-7.123717,48.741875
1,14791,0.97071147,1,-0.94074655,88.15444
1,14798,0.97472805,2,-0.6121304,67.00961
1,14862,0.0406861,4,30.06724,53.89813
1,14967,0.34670654,1,-32.067802,116.48178
1,14990,0.97472805,2,-0.6121304,67.00961
1,14997,0.976895,2,-0.57882136,68.78698
1,14999,0.976895,2,-0.57882136,68.78698
1,15000,0.52285326,3,-10.432534,56.851334
1,15084,0.52285326,3,-10.432534,56.851334
1,15219,0.52285326,3,-10.432534,56.851334
1,15230,0.4015849,11,-7.1401644,31.350132
1,15283,0.48572162,5,-8.73884,44.322475
1,15284,0.48572162,5,-8.73884,44.322475
1,15293,0.28587365,34,6.841012,25.61589
1,15375,0.390781,1,-23.085047,92.15988
1,15394,0.2611711,1,28.960838,90.10016
1,15538,0.6200286,1,-12.668487,87.73032
1,15678,0.4859241,2,14.815835,74.36257
1,15725,0.7363174,10,-3.1421022,34.18939
1,15746,0.97951895,2,-0.5111141,68.7845
1,15793,0.8658178,5,-1.4617548,32.117462
1,15833,0.9479971,6,0.866253,47.24315
1,16116,0.8061378,1,-6.6620274,93.248474
1,16147,0.5447286,1,-16.037275,90.795074
1,16225,0.28587365,34,6.841012,25.61589
1,16380,0.25728893,1,-30.800028,93.046
1,16383,0.52983385,3,-9.699002,53.828598
1,16410,0.95495623,7,0.671883,42.546608
1,16449,0.95495623,7,0.671883,42.546608
1,16470,0.5854804,1,-14.491746,91.16482
1,16543,0.6200286,1,-12.668487,87.73032
1,16704,0.9723858,1,-0.9321119,91.67957
1,16754,0.25975657,17,-7.993254,26.836952
1,16840,0.71997494,8,-3.914348,39.268303
1,16855,0.95495623,7,0.671883,42.546608
1,16923,0.89369965,5,1.59387,42.833683
1,16956,0.95495623,7,0.671883,42.546608
1,16974,0.8865439,3,-1.3676217,35.131622
1,16993,0.7363174,10,-3.1421022,34.18939
1,16999,0.6347039,10,-4.303927,33.27496
1,17011,0.5013135,48,-3.5244696,21.665895
1,17026,0.5013135,48,-3.5244696,21.665895
1,17049,0.80002564,1,-6.812845,92.40671
1,17596,0.3285178,1,-25.733858,90.221596
1,17601,0.6069561,4,-7.123717,48.741875
1,17624,0.28587365,34,6.841012,25.61589
1,17658,0.78435534,66,1.4150859,21.509985
1,17689,0.78435534,66,1.4150859,21.509985
1,17712,0.50532347,1,17.615967,91.75221
1,17822,0.83534026,1,-5.5126348,91.1669
1,17830,0.5013135,48,-3.5244696,21.665895
1,17871,0.48572162,5,-8.73884,44.322475
1,17873,0.32966688,13,-7.546316,28.886364
1,17893,0.80672973,1,5.433743,77.05432
1,17903,0.6069561,4,-7.123717,48.741875
1,18477,0.08125508,33,-9.982364,22.510817
1,18559,0.9224906,2,1.7956401,64.358505
1,18621,0.824833,1,5.797052,90.38086
1,18653,0.25021592,2,-21.826353,65.438644
1,18685,0.55125654,2,-10.3250885,60.148426
1,18696,0.48572162,5,-8.73884,44.322475
1,18703,0.8658178,5,-1.4617548,32.117462
1,18705,0.9065495,25,-0.7765354,25.810572
1,18716,0.8658178,5,-1.4617548,32.117462
1,18718,0.78435534,66,1.4150859,21.509985
1,18729,0.816155,15,1.8531703,30.199802
1,18733,0.036231503,9,25.036736,44.668396
1,18756,0.73095995,10,-3.446216,36.419476
1,18790,0.95495623,7,0.671883,42.546608
1,18818,0.5854804,1,-14.491746,91.16482
1,18886,0.52285326,3,-10.432534,56.851334
1,18890,0.31398547,3,-15.415456,53.270466
1,18961,0.9479971,6,0.866253,47.24315
1,19084,1.0,1,-0.08982295,89.48073
1,19197,0.88687617,5,-1.2248017,32.029205
1,19291,0.72105694,3,-5.674014,55.509777
1,19330,0.91508573,1,1.5033258,49.85052
1,19366,0.4189594,1,-21.217646,89.97471
1,19456,0.5662121,4,7.640938,47.727394
1,19532,0.78435534,66,1.4150859,21.509985
1,19546,0.52285326,3,-10.432534,56.851334
1,19701,0.48572162,5,-8.73884,44.322475
1,19819,0.6830534,11,-3.844434,34.4587
1,19908,0.9479971,6,0.866253,47.24315
1,19931,0.73095995,10,-3.446216,36.419476
1,19932,0.73095995,10,-3.446216,36.419476
1,19957,0.911325,1,-2.8607576,88.35635
1,20047,0.52285326,3,-10.432534,56.851334
1,20086,0.34670654,1,-32.067802,116.48178
1,20087,0.4086819,6,-10.028229,43.074383
1,20088,0.80057496,9,2.0291011,30.43113
1,20089,0.49712557,3,10.35426,54.17005
1,20109,0.4656479,2,-13.551777,64.1803
1,20119,0.8865439,3,-1.3676217,35.131622
1,20176,0.7363174,10,-3.1421022,34.18939
1,20183,0.49712557,3,10.35426,54.17005
1,20195,0.8537592,6,-2.2213192,43.019714
1,20251,0.5854804,1,-14.491746,91.16482
1,20486,0.9479971,6,0.866253,47.24315
1,20526,0.31398547,3,-15.415456,53.270466
1,20528,0.31398547,3,-15.415456,53.270466
1,20530,0.31398547,3,-15.415456,53.270466
1,20532,0.35056174,42,5.42437,23.65964
1,20534,0.97071147,1,-0.94074655,88.15444
1,20544,0.976895,2,-0.57882136,68.78698
1,20624,0.40654045,1,-22.820826,94.16773
1,20720,0.5221046,40,3.8435893,24.17148
1,20762,0.9723858,1,-0.9321119,91.67957
1,20821,0.976895,2,-0.57882136,68.78698
1,20859,0.46849746,1,-20.715986,97.8586
1,20892,0.89369965,5,1.59387,42.833683
1,21043,0.39695877,50,-4.3788743,21.44196
1,21054,0.2544015,2,-21.2276,64.24119
1,21072,0.9479971,6,0.866253,47.24315
1,21104,0.15828362,34,-7.7339487,21.976437
1,21128,0.1279376,52,-7.711655,20.864353
1,21307,0.91508573,1,1.5033258,49.85052
1,21340,0.2937699,1,-29.196342,95.199005
1,21451,0.020847209,1,62.56905,96.707
1,21475,0.5662121,4,7.640938,47.727394
1,21775,0.8865439,3,-1.3676217,35.131622
1,21829,0.5624275,64,-2.9345155,21.081589
1,21858,0.36953637,1,28.261051,109.06354
1,21929,0.8537592,6,-2.2213192,43.019714
1,21931,0.5447286,1,-16.037275,90.795074
1,22042,0.8658178,5,-1.4617548,32.117462
1,22063,0.2937699,1,-29.196342,95.199005
1,22114,0.976895,2,-0.57882136,68.78698
1,22126,0.19025046,2,-24.154207,63.59722
1,22135,0.6797314,7,-3.2751977,29.791391
1,22142,0.71997494,8,-3.914348,39.268303
1,22187,0.75877094,2,3.9120927,45.65899
1,22191,0.72105694,3,-5.674014,55.509777
1,22320,0.9479971,6,0.866253,47.24315
1,22372,0.7616132,1,-8.128288,91.97793
1,22522,0.7841029,67,1.2829461,20.069843
1,22593,0.97951895,2,-0.5111141,68.7845
1,22600,0.4169301,1,23.006998,98.31287
1,22636,0.390781,1,-23.085047,92.15988
1,22672,0.8537592,6,-2.2213192,43.019714
1,22680,0.19025046,2,-24.154207,63.59722
1,22743,0.48152792,6,-8.261214,41.72556
1,22768,0.8525846,15,-1.4951893,30.22855
1,22786,0.0406861,4,30.06724,53.89813
1,22889,0.17581894,7,15.605561,42.635357
1,23006,0.6107541,3,-8.232737,56.386177
1,23072,0.4656479,2,-13.551777,64.1803
1,23082,0.91508573,1,1.5033258,49.85052
1,23085,0.95495623,7,0.671883,42.546608
1,23093,0.48152792,6,-8.261214,41.72556
1,23146,0.4994135,3,-10.241082,52.89772
1,23235,0.74159735,66,1.5649428,20.233372
1,23402,0.52285326,3,-10.432534,56.851334
1,23487,0.5447286,1,-16.037275,90.795074
1,23510,0.97472805,2,-0.6121304,67.00961
1,23838,0.9479971,6,0.866253,47.24315
1,24147,0.0406861,4,30.06724,53.89813
1,24148,0.0406861,4,30.06724,53.89813
1,24226,0.976895,2,-0.57882136,68.78698
1,24466,0.7478859,68,1.5234265,20.210642
1,24483,0.9479971,6,0.866253,47.24315
1,24489,0.5013135,48,-3.5244696,21.665895
1,24509,0.40654045,1,-22.820826,94.16773
1,24513,0.52285326,3,-10.432534,56.851334
1,24683,0.63608027,1,-6.773427,50.27919
1,24698,0.4169301,1,23.006998,98.31287
1,24738,0.63252926,57,2.2066393,19.882957
1,25315,0.5662121,4,7.640938,47.727394
1,25365,0.4656479,2,-13.551777,64.1803
1,25486,0.48152792,6,-8.261214,41.72556
1,25493,0.9938241,1,-0.08970727,39.979958
1,25513,0.95495623,7,0.671883,42.546608
1,25773,0.6708092,14,-3.6163497,31.579708
1,25868,0.020847209,1,62.56905,96.707
1,26005,0.75877094,2,3.9120927,45.65899
1,26041,0.5013135,48,-3.5244696,21.665895
1,26053,0.7948864,4,-3.592586,48.754272
1,26089,0.34670654,1,-32.067802,116.48178
1,26121,0.60025465,5,7.7973366,52.83009
1,26158,0.4656479,2,-13.551777,64.1803
1,26243,0.50532347,1,17.615967,91.75221
1,26247,0.32811308,1,-26.670317,93.381256
1,26251,0.95495623,7,0.671883,42.546608
1,26288,0.96295756,8,-0.5036813,39.29787
1,27019,0.2937699,1,-29.196342,95.199005
1,27033,0.75877094,2,3.9120927,45.65899
1,27204,0.4189594,1,-21.217646,89.97471
1,27265,0.28587365,34,6.841012,25.61589
1,27437,0.390781,1,-23.085047,92.15988
1,27754,0.4015849,11,-7.1401644,31.350132
1,27939,0.2937699,1,-29.196342,95.199005
1,28241,0.48152792,6,-8.261214,41.72556
1,28243,0.48152792,6,-8.261214,41.72556
1,28257,0.4656479,2,-13.551777,64.1803
1,28366,0.390781,1,-23.085047,92.15988
1,28453,0.5447286,1,-16.037275,90.795074
1,28512,0.6347039,10,-4.303927,33.27496
1,28525,1.0,5,0.046561807,44.521854
1,28699,0.5854804,1,-14.491746,91.16482
1,28819,0.2937699,1,-29.196342,95.199005
1,28948,0.7823869,5,3.7517955,48.355434
1,28978,0.46181032,12,-5.9837656,30.212078
1,29121,0.5517115,7,-6.0940795,36.944427
1,29156,0.97951895,2,-0.5111141,68.7845
1,29291,0.9207379,23,0.6878882,26.842457
1,29345,0.6347039,10,-4.303927,33.27496
1,29451,0.9479971,6,0.866253,47.24315
1,29519,0.767725,1,7.730536,90.4023
1,29694,0.8537592,6,-2.2213192,43.019714
1,29713,0.48152792,6,-8.261214,41.72556
1,29717,0.976895,2,-0.57882136,68.78698
1,29757,0.28587365,34,6.841012,25.61589
1,29901,0.0406861,4,30.06724,53.89813
1,30069,0.95495623,7,0.671883,42.546608
1,30176,0.36953637,1,28.261051,109.06354
1,30185,0.976895,2,-0.57882136,68.78698
1,30356,0.28587365,34,6.841012,25.61589
1,30360,0.390781,1,-23.085047,92.15988
1,30366,0.48152792,6,-8.261214,41.72556
1,30418,0.2937699,1,-29.196342,95.199005
1,30529,0.9479971,6,0.866253,47.24315
1,30540,0.020847209,1,62.56905,96.707
1,30679,0.91508573,1,1.5033258,49.85052
1,30683,0.4341332,7,9.541979,44.24484
1,30735,0.8865439,3,-1.3676217,35.131622
1,30738,0.75877094,2,3.9120927,45.65899
1,30872,0.976895,2,-0.57882136,68.78698
1,30873,0.8537592,6,-2.2213192,43.019714
1,30975,0.976895,2,-0.57882136,68.78698
1,31052,0.390781,1,-23.085047,92.15988
1,31223,0.41987202,9,-7.7110057,34.70313
1,31256,0.97472805,2,-0.6121304,67.00961
1,31277,0.36649463,7,-9.83105,38.870186
1,31301,0.9479971,6,0.866253,47.24315
1,31349,0.5447286,1,-16.037275,90.795074
1,31364,0.36649463,7,-9.83105,38.870186
1,31381,0.17581894,7,15.605561,42.635357
1,31449,0.95495623,7,0.671883,42.546608
1,31485,0.2937699,1,-29.196342,95.199005
1,31488,0.976895,2,-0.57882136,68.78698
1,31489,0.976895,2,-0.57882136,68.78698
1,31515,0.6589869,53,-2.063731,19.982805
1,31613,0.89369965,5,1.59387,42.833683
1,31712,0.85724574,1,4.937471,94.59003
1,31858,0.6069561,4,-7.123717,48.741875
1,31917,0.97951895,2,-0.5111141,68.7845
1,31926,0.9479971,6,0.866253,47.24315
1,32031,0.3742402,3,16.798933,66.63736
1,32210,0.33178732,8,10.824673,40.435493
1,32350,0.020847209,1,62.56905,96.707
1,32364,0.95495623,7,0.671883,42.546608
1,32383,0.48152792,6,-8.261214,41.72556
1,32482,0.390781,1,-23.085047,92.15988
1,32494,0.95495623,7,0.671883,42.546608
1,32542,0.95495623,7,0.671883,42.546608
1,32768,0.8066349,4,-3.8336146,54.84737
1,32806,0.2937699,1,-29.196342,95.199005
1,32807,0.65208864,55,-2.2268221,20.780203
1,32815,0.88754356,24,0.9537794,26.354553
1,32831,0.40654045,1,-22.820826,94.16773
1,32854,0.71997494,8,-3.914348,39.268303
1,33292,0.33042434,1,25.8104,92.43322
1,33322,0.0406861,4,30.06724,53.89813
1,33326,0.2937699,1,-29.196342,95.199005
1,33431,0.390781,1,-23.085047,92.15988
1,33481,0.38051206,11,-7.419273,31.174982
1,33485,0.81468475,5,-3.2429237,48.833935
1,33617,0.89369965,5,1.59387,42.833683
1,33647,0.1931167,53,-6.8347535,21.425335
1,33651,0.1931167,53,-6.8347535,21.425335
1,33655,0.75359553,10,-2.889135,33.784416
1,33754,0.5447286,1,-16.037275,90.795074
1,33761,0.88754356,24,0.9537794,26.354553
1,33762,0.976895,2,-0.57882136,68.78698
1,33820,0.97951895,2,-0.5111141,68.7845
1,33855,0.2937699,1,-29.196342,95.199005
1,33906,0.95495623,7,0.671883,42.546608
1,33934,0.8066349,4,-3.8336146,54.84737
1,33946,0.36953637,1,28.261051,109.06354
1,34066,0.5635753,1,-15.759191,93.554565
1,34125,0.9479971,6,0.866253,47.24315
1,34345,0.95495623,7,0.671883,42.546608
1,34461,0.2937699,1,-29.196342,95.199005
1,34500,0.5447286,1,-16.037275,90.795074
1,34599,0.8525846,15,-1.4951893,30.22855
1,34670,0.5662121,4,7.640938,47.727394
1,34707,0.97472805,2,-0.6121304,67.00961
1,35391,0.43012545,1,-21.547226,93.55239
1,35510,0.49839053,2,-12.829661,65.52176
1,35551,0.71997494,8,-3.914348,39.268303
1,35727,1.0,1,-0.08982295,89.48073
1,35818,0.4656479,2,-13.551777,64.1803
1,35856,0.9337739,37,-0.47433656,23.068296
1,35907,0.976895,2,-0.57882136,68.78698
1,36132,0.2937699,1,-29.196342,95.199005
1,36150,0.34670654,1,-32.067802,116.48178
1,36291,0.8057129,1,-6.9021297,96.30229
1,36594,0.48012775,2,14.166939,70.310684
1,36596,0.71997494,8,-3.914348,39.268303
1,36770,0.2937699,1,-29.196342,95.199005
1,36771,0.2937699,1,-29.196342,95.199005
1,36932,0.976895,2,-0.57882136,68.78698
1,36975,0.8066349,4,-3.8336146,54.84737
1,37048,0.9723858,1,-0.9321119,91.67957
